id,framework,domain,sub_domain,control
NIST CSF v1.1-RS.CO-5,NIST CSF v1.1,RESPOND (RS),Response Communications,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness
NIST CSF v1.1-RS.AN-1,NIST CSF v1.1,RESPOND (RS),Analysis,Notifications from detection systems are investigated
NIST CSF v1.1-RS.AN-2,NIST CSF v1.1,RESPOND (RS),Analysis,The impact of the incident is understood
NIST CSF v1.1-RS.AN-3,NIST CSF v1.1,RESPOND (RS),Analysis,Forensics are performed
NIST CSF v1.1-RS.AN-4,NIST CSF v1.1,RESPOND (RS),Analysis,Incidents are categorized consistent with response plans
NIST CSF v1.1-RS.AN-5,NIST CSF v1.1,RESPOND (RS),Analysis,"Processes are established to receive, analyse and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)"
NIST CSF v1.1-RS.MI-1,NIST CSF v1.1,RESPOND (RS),Mitigation,Incidents are contained
NIST CSF v1.1-RS.MI-2,NIST CSF v1.1,RESPOND (RS),Mitigation,Incidents are mitigated
NIST CSF v1.1-RS.MI-3,NIST CSF v1.1,RESPOND (RS),Mitigation,Newly identified vulnerabilities are mitigated or documented as accepted risks
NIST CSF v1.1-RS.IM-1,NIST CSF v1.1,RESPOND (RS),Response Improvements,Response plans incorporate lessons learned
NIST CSF v1.1-RS.IM-2,NIST CSF v1.1,RESPOND (RS),Response Improvements,Response strategies are updated
NIST CSF v1.1-RC.RP-1,NIST CSF v1.1,RECOVER (RC),Recovery Planning,Recovery plan is executed during or after a cybersecurity incident
NIST CSF v1.1-RC.IM-1,NIST CSF v1.1,RECOVER (RC),Recovery Improvements,Recovery plans incorporate lessons learned
NIST CSF v1.1-RC.IM-2,NIST CSF v1.1,RECOVER (RC),Recovery Improvements,Recovery strategies are updated
NIST CSF v1.1-RC.CO-1,NIST CSF v1.1,RECOVER (RC),Recovery Communications,Public relations are managed
NIST CSF v1.1-RC.CO-2,NIST CSF v1.1,RECOVER (RC),Recovery Communications,Reputation is repaired after an incident
NIST CSF v1.1-RC.CO-3,NIST CSF v1.1,RECOVER (RC),Recovery Communications,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams
ISM-0714,ISM,Chief Information Security Officer,Providing cyber security leadership and guidance,A CISO is appointed to provide cyber security leadership and guidance for their organisation.
ISM-1478,ISM,Chief Information Security Officer,Overseeing the cyber security program,"The CISO oversees their organisation’s cyber security program and ensures their organisation’s compliance with cyber security policy, standards, regulations and legislation."
ISM-1617,ISM,Chief Information Security Officer,Overseeing the cyber security program,The CISO regularly reviews and updates their organisation’s cyber security program to ensure its relevance in addressing cyber threats and harnessing business and cyber security opportunities.
ISM-0724,ISM,Chief Information Security Officer,Overseeing the cyber security program,The CISO implements cyber security measurement metrics and key performance indicators for their organisation.
ISM-0725,ISM,Chief Information Security Officer,Coordinating cyber security,"The CISO coordinates cyber security and business alignment through a cyber security steering committee or advisory board, comprising of key cyber security and business executives, which meets formally and on a regular basis."
ISM-0726,ISM,Chief Information Security Officer,Coordinating cyber security,The CISO coordinates security risk management activities between cyber security and business teams.
ISM-0718,ISM,Chief Information Security Officer,Reporting on cyber security,The CISO reports directly to their organisation’s senior executive or Board on cyber security matters.
ISM-0733,ISM,Chief Information Security Officer,Overseeing cyber security incident response activities,The CISO is fully aware of all cyber security incidents within their organisation.
ISM-1618,ISM,Chief Information Security Officer,Overseeing cyber security incident response activities,The CISO oversees their organisation’s response to cyber security incidents.
ISM-0734,ISM,Chief Information Security Officer,Contributing to business continuity and disaster recovery planning,"The CISO contributes to the development, implementation and maintenance of business continuity and disaster recovery plans for their organisation to ensure that business-critical services are supported appropriately in the event of a disaster."
ISM-0720,ISM,Chief Information Security Officer,Communicating a cyber security vision and strategy,"The CISO oversees the development, implementation and maintenance of a cyber security communications strategy to assist in communicating the cyber security vision and strategy for their organisation."
ISM-0731,ISM,Chief Information Security Officer,Working with suppliers,The CISO oversees cyber supply chain risk management activities for their organisation.
ISM-0732,ISM,Chief Information Security Officer,Receiving and managing a dedicated cyber security budget,The CISO receives and manages a dedicated cyber security budget for their organisation.
ISM-0717,ISM,Chief Information Security Officer,Overseeing cyber security personnel,The CISO oversees the management of cyber security personnel within their organisation.
ISM-0735,ISM,Chief Information Security Officer,Overseeing cyber security awareness raising,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program."
ISM-1071,ISM,System owners,System ownership and oversight,Each system has a designated system owner.
ISM-1525,ISM,System owners,System ownership and oversight,System owners register each system with its authorising officer.
ISM-1633,ISM,System owners,Protecting systems and their resources,"System owners determine the type, value and security objectives for each system based on an assessment of the impact if it were to be compromised."
ISM-1634,ISM,System owners,Protecting systems and their resources,System owners select controls for each system and tailor them to achieve desired security objectives.
ISM-1635,ISM,System owners,Protecting systems and their resources,System owners implement controls for each system and its operating environment.
ISM-1636,ISM,System owners,Protecting systems and their resources,System owners ensure controls for each system and its operating environment are assessed to determine if they have been implemented correctly and are operating as intended.
ISM-0027,ISM,System owners,Protecting systems and their resources,System owners obtain authorisation to operate each system from its authorising officer based on the acceptance of the security risks associated with its operation.
ISM-1526,ISM,System owners,Protecting systems and their resources,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis."
ISM-1587,ISM,System owners,Annual reporting of system security status,System owners report the security status of each system to its authorising officer at least annually.
ISM-0576,ISM,Managing cyber security incidents,Cyber security incident management policy,"A cyber security incident management policy, and associated cyber security incident response plan, is developed, implemented and maintained."
ISM-1784,ISM,Managing cyber security incidents,Cyber security incident management policy,"The cyber security incident management policy, including the associated cyber security incident response plan, is exercised at least annually."
ISM-0125,ISM,Managing cyber security incidents,Cyber security incident register,"A cyber security incident register is developed, implemented and maintained."
ISM-1803,ISM,Managing cyber security incidents,Cyber security incident register,A cyber security incident register contains the following for each cyber security incident: • the date the cyber security incident occurred • the date the cyber security incident was discovered • a description of the cyber security incident • any actions taken in response to the cyber security incident • to whom the cyber security incident was reported.
ISM-1625,ISM,Managing cyber security incidents,Trusted insider program,"A trusted insider program is developed, implemented and maintained."
ISM-1626,ISM,Managing cyber security incidents,Trusted insider program,Legal advice is sought regarding the development and implementation of a trusted insider program.
ISM-0120,ISM,Managing cyber security incidents,Access to sufficient data sources and tools,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
ISM-0123,ISM,Managing cyber security incidents,Reporting cyber security incidents,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered."
